Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
352,Delon Wright,TOR,1645200,2536898,,,,,1st Round pick,4182098
353,OG Anunoby,TOR,1645200,1952760,2281800,3872215,,,1st Round Pick,3597960
378,Norman Powell,TOR,1471382,9367200,10116576,10865952,11615328,,Cap Space,31821110
407,Pascal Siakam,TOR,1312611,1544951,2351839,,,,1st Round pick,2857562
437,Fred VanVleet,TOR,1312611,,,,,,,
450,Justin Hamilton,TOR,1000000,1000000,1000000,,,,,3000000
474,Alfonzo McKinnie,TOR,815615,1378242,,,,,Minimum Salary,100000
491,K.J. McDaniels,TOR,100000,,,,,,,100000
35,Rudy Gobert,UTA,21974719,23491573,25008427,26525281,,,1st Round Pick,97000000
79,Ricky Rubio,UTA,14275000,14975000,,,,,1st Round Pick,29250000
80,Joe Ingles,UTA,14136364,13045455,11954546,10863637,,,Bird Rights,50000002
103,Derrick Favors,UTA,12000000,,,,,,1st Round Pick,12000000
113,Alec Burks,UTA,10845506,11536515,,,,,1st Round Pick,22382021
117,Joe Johnson,UTA,10505000,,,,,,Cap Space,10505000
194,Thabo Sefolosha,UTA,5250000,5250000,,,,,Cap space,5250000
204,Dante Exum,UTA,4992385,,,,,,1st Round Pick,4992385
226,Jonas Jerebko,UTA,4000000,4200000,,,,,Cap space,4000000
251,Ekpe Udoh,UTA,3200000,3360000,,,,,Room Exception,3200000
272,Donovan Mitchell,UTA,2621280,3111480,3635760,5195501,,,1st Round Pick,5732760
286,Rodney Hood,UTA,2386864,,,,,,1st Round Pick,2386864
394,Raul Neto,UTA,1471382,,,,,,,
401,Tony Bradley,UTA,1414920,1679520,1962360,3542060,,,1st Round Pick,3094440
416,Joel Bolomboy,UTA,1312611,,,,,,,1312611
467,Royce O'Neale,UTA,815615,1378242,1618520,,,,Cap space,815615
17,Otto Porter,WAS,24773250,26011913,27250576,28489239,,,Bird Rights,78035739
20,Bradley Beal,WAS,23775506,25434263,27093019,28751775,,,Cap Space,105054563
49,John Wall,WAS,18063850,19169800,37800000,40824000,43848000,,Bird Rights,159705650
63,Ian Mahinmi,WAS,16661641,15944154,15450051,,,,Cap Space,48055846
94,Marcin Gortat,WAS,12782609,13565218,,,,,Bird Rights,26347827
141,Markieff Morris,WAS,8000000,8600000,,,,,Bird Rights,16600000
195,Jason Smith,WAS,5225000,5450000,,,,,Cap Space,5225000
245,Jodie Meeks,WAS,3290000,3454500,,,,,Bi-annual Exception,3290000
259,Tomas Satoransky,WAS,3000000,3129187,,,,,Cap Space,6129187
327,Kelly Oubre,WAS,2093040,3208630,,,,,1st round pick,5301670
330,Tim Frazier,WAS,2000000,,,,,,Room exception,2000000
347,Mike Scott,WAS,1709538,,,,,,Minimum Salary,1709538
385,Chris McCullough,WAS,1471382,,,,,,1st Round pick,1471382
436,Sheldon Mac,WAS,1312611,,,,,,Minimum Salary,50000
456,Martell Webster,WAS,830000,830000,,,,,,1660000
490,Carrick Felix,WAS,140902,,,,,,,140902
497,Daniel Ochefu,WAS,50000,,,,,,,50000
